OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU2185,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2186,1924739,Acanthoecida,no rank,1,,,,Choanoflagellida,,,
MOTU2187,5988,Litostomatea,class,1,,,Litostomatea,,,,
MOTU2188,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2189,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2190,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2191,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2192,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2193,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2194,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2195,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU2196,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2197,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2198,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2199,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2200,2836,Bacillariophyta,phylum,0.995,,Bacillariophyta,,,,,
MOTU2201,3041,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,
MOTU2202,131567,cellular organisms,no rank,1,,,,,,,
MOTU2203,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2204,38834,Pyramimonadales,order,1,Viridiplantae,Chlorophyta,,Pyramimonadales,,,
MOTU2205,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2206,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2207,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2208,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2209,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
MOTU2210,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2211,2759,Eukaryota,superkingdom,1,,,,,,,
