OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU1900,500008,Leptothecata,order,1,Metazoa,Cnidaria,Hydrozoa,Leptothecata,,,
MOTU1901,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1902,2759,Eukaryota,superkingdom,0.9998,,,,,,,
MOTU1903,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1904,33854,Fragilariophycidae,no rank,1,,Bacillariophyta,Fragilariophyceae,,,,
MOTU1905,35140,Chrysochromulina,genus,1,,,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,
MOTU1906,3041,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,
MOTU1907,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1908,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1909,194286,Stichotrichia,subclass,1,,,Spirotrichea,,,,
MOTU1910,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1911,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1912,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1913,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1914,41212,Harpacticoida,order,1,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,,,
MOTU1915,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1916,211030,Oligotrichia,subclass,0.9979,,,Spirotrichea,,,,
MOTU1917,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU1918,1779147,Keratosa,subclass,1,Metazoa,Porifera,Demospongiae,,,,
MOTU1919,1,root,no rank,1,,,,,,,
MOTU1920,2759,Eukaryota,superkingdom,0.99,,,,,,,
MOTU1921,33634,Stramenopiles,no rank,1,,,,,,,
MOTU1922,33829,Spirotrichea,class,1,,,Spirotrichea,,,,
MOTU1923,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU1924,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1925,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1926,211030,Oligotrichia,subclass,0.9866,,,Spirotrichea,,,,
MOTU1927,2759,Eukaryota,superkingdom,0.9993,,,,,,,
MOTU1928,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1929,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1930,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1931,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1932,2759,Eukaryota,superkingdom,0.8559,,,,,,,
MOTU1933,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1934,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1935,1,root,no rank,1,,,,,,,
MOTU1936,2759,Eukaryota,superkingdom,0.9999,,,,,,,
MOTU1937,102298,Ctena,genus,0.9802,Metazoa,Mollusca,Bivalvia,Lucinoida,Lucinidae,Ctena,
MOTU1938,2759,Eukaryota,superkingdom,0.9696,,,,,,,
MOTU1939,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1940,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1941,33213,Bilateria,no rank,1,Metazoa,,,,,,
MOTU1942,2759,Eukaryota,superkingdom,0.9212,,,,,,,
MOTU1943,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1944,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1945,6072,Eumetazoa,no rank,1,Metazoa,,,,,,
MOTU1946,73379,Eunice,genus,0.8839,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,
MOTU1947,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1948,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1949,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
