OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU7715,131567,cellular organisms,no rank,1,,,,,,,
MOTU7716,33208,Metazoa,kingdom,1,Metazoa,,,,,,
MOTU7717,2759,Eukaryota,superkingdom,0.9941,,,,,,,
MOTU7718,1,root,no rank,NA,,,,,,,
MOTU7719,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7720,131567,cellular organisms,no rank,1,,,,,,,
MOTU7721,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7722,33630,Alveolata,no rank,1,,,,,,,
MOTU7723,1,root,no rank,1,,,,,,,
MOTU7724,131567,cellular organisms,no rank,1,,,,,,,
MOTU7725,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7726,131567,cellular organisms,no rank,1,,,,,,,
MOTU7727,2759,Eukaryota,superkingdom,0.9993,,,,,,,
MOTU7728,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7729,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7730,1,root,no rank,NA,,,,,,,
MOTU7731,2045261,Rhodymeniophycidae,subclass,1,,,Florideophyceae,,,,
MOTU7732,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7733,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7734,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7735,131567,cellular organisms,no rank,1,,,,,,,
MOTU7736,2836,Bacillariophyta,phylum,0.9999,,Bacillariophyta,,,,,
MOTU7737,1,root,no rank,1,,,,,,,
MOTU7738,131567,cellular organisms,no rank,1,,,,,,,
MOTU7739,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7740,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7741,131567,cellular organisms,no rank,1,,,,,,,
MOTU7742,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7743,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7744,131567,cellular organisms,no rank,1,,,,,,,
MOTU7745,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7746,131567,cellular organisms,no rank,1,,,,,,,
MOTU7747,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7748,131567,cellular organisms,no rank,1,,,,,,,
MOTU7749,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7750,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7751,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7752,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7753,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7754,2759,Eukaryota,superkingdom,0.9819,,,,,,,
MOTU7755,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7756,2759,Eukaryota,superkingdom,0.997,,,,,,,
MOTU7757,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7758,1,root,no rank,1,,,,,,,
MOTU7759,33850,Bacillariophycidae,no rank,1,,Bacillariophyta,Bacillariophyceae,,,,
MOTU7760,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7761,2759,Eukaryota,superkingdom,0.9996,,,,,,,
MOTU7762,1,root,no rank,1,,,,,,,
MOTU7763,2836,Bacillariophyta,phylum,0.9977,,Bacillariophyta,,,,,
MOTU7764,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7765,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7766,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7767,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7768,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7769,131567,cellular organisms,no rank,1,,,,,,,
MOTU7770,116569,Neocopepoda,infraclass,1,Metazoa,Arthropoda,Hexanauplia,,,,
MOTU7771,1,root,no rank,1,,,,,,,
MOTU7772,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7773,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7774,131567,cellular organisms,no rank,1,,,,,,,
MOTU7775,33630,Alveolata,no rank,1,,,,,,,
MOTU7776,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7777,131567,cellular organisms,no rank,1,,,,,,,
MOTU7778,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7779,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7780,131567,cellular organisms,no rank,1,,,,,,,
MOTU7781,2759,Eukaryota,superkingdom,0.986,,,,,,,
MOTU7782,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7783,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7784,2759,Eukaryota,superkingdom,0.9796,,,,,,,
MOTU7785,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7786,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7787,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7788,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7789,1,root,no rank,1,,,,,,,
MOTU7790,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7791,131567,cellular organisms,no rank,1,,,,,,,
MOTU7792,2759,Eukaryota,superkingdom,0.9985,,,,,,,
MOTU7793,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7794,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7795,131567,cellular organisms,no rank,1,,,,,,,
MOTU7796,33317,Protostomia,no rank,1,Metazoa,,,,,,
MOTU7797,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7798,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7799,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7800,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7801,2759,Eukaryota,superkingdom,0.9998,,,,,,,
MOTU7802,51293,Capitella,genus,0.9929,Metazoa,Annelida,Polychaeta,Capitellida,Capitellidae,Capitella,
MOTU7803,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7804,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7805,131567,cellular organisms,no rank,1,,,,,,,
MOTU7806,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7807,131567,cellular organisms,no rank,1,,,,,,,
MOTU7808,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7809,2759,Eukaryota,superkingdom,0.8593,,,,,,,
MOTU7810,131567,cellular organisms,no rank,1,,,,,,,
MOTU7811,131567,cellular organisms,no rank,1,,,,,,,
MOTU7812,2759,Eukaryota,superkingdom,0.9012,,,,,,,
MOTU7813,2877,Ectocarpales,order,0.9939,,,Phaeophyceae,Ectocarpales,,,
MOTU7814,2806,Florideophyceae,class,0.8924,,,Florideophyceae,,,,
MOTU7815,1206795,Lophotrochozoa,no rank,1,Metazoa,,,,,,
MOTU7816,33208,Metazoa,kingdom,0.9949,Metazoa,,,,,,
MOTU7817,2759,Eukaryota,superkingdom,0.9911,,,,,,,
MOTU7818,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7819,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7820,2759,Eukaryota,superkingdom,0.9996,,,,,,,
MOTU7821,1,root,no rank,NA,,,,,,,
MOTU7822,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7823,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7824,2806,Florideophyceae,class,0.9844,,,Florideophyceae,,,,
MOTU7825,2759,Eukaryota,superkingdom,0.8833,,,,,,,
MOTU7826,1,root,no rank,1,,,,,,,
MOTU7827,1,root,no rank,NA,,,,,,,
MOTU7828,131567,cellular organisms,no rank,0.9982,,,,,,,
MOTU7829,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7830,2759,Eukaryota,superkingdom,0.9976,,,,,,,
MOTU7831,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7832,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7833,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7834,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7835,1,root,no rank,NA,,,,,,,
MOTU7836,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7837,1,root,no rank,NA,,,,,,,
MOTU7838,1,root,no rank,1,,,,,,,
MOTU7839,1,root,no rank,NA,,,,,,,
MOTU7840,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7841,1,root,no rank,1,,,,,,,
MOTU7842,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU7843,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7844,69701,Cerithiidae,family,1,Metazoa,Mollusca,Gastropoda,,Cerithiidae,,
MOTU7845,1,root,no rank,NA,,,,,,,
MOTU7846,2759,Eukaryota,superkingdom,0.9957,,,,,,,
MOTU7847,2759,Eukaryota,superkingdom,0.9847,,,,,,,
MOTU7848,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7849,1,root,no rank,NA,,,,,,,
MOTU7850,131567,cellular organisms,no rank,1,,,,,,,
MOTU7851,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7852,131567,cellular organisms,no rank,1,,,,,,,
MOTU7853,2759,Eukaryota,superkingdom,0.9995,,,,,,,
MOTU7854,33208,Metazoa,kingdom,1,Metazoa,,,,,,
MOTU7855,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7856,1,root,no rank,NA,,,,,,,
MOTU7857,131567,cellular organisms,no rank,1,,,,,,,
MOTU7858,131567,cellular organisms,no rank,1,,,,,,,
MOTU7859,7682,Aspidochirotida,order,1,Metazoa,Echinodermata,Holothuroidea,Aspidochirotida,,,
MOTU7860,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7861,2864,Dinophyceae,class,0.9998,,,Dinophyceae,,,,
MOTU7862,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7863,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7864,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7865,2759,Eukaryota,superkingdom,1,,,,,,,
