ratio,zeta.order,Marker
0.6337339147080718,1,18S
0.7882194999160934,2,18S
0.8305301256120927,3,18S
0.8779800051268906,4,18S
0.9013138686131387,5,18S
0.9099449303530937,6,18S
0.9263082947668209,7,18S
0.9400461183704841,8,18S
0.9386753883892069,9,18S
0.9634146341463415,10,18S
0.9615732368896925,11,18S
0.9605077574047954,12,18S
0.9153206069505629,13,18S
0.9604278074866309,14,18S
0.8246102449888643,15,18S
