"Annelida","Arthropoda","Cnidaria","Mollusca","Porifera","class.error","accuracy","mean_err","mean_accur"
84,41,31,60,64,0.7,0.3,0.713802702677182,0.286197297322818
108,150,112,117,75,0.733096085409253,0.266903914590747,0.713802702677182,0.286197297322818
74,105,139,76,70,0.700431034482759,0.299568965517241,0.713802702677182,0.286197297322818
70,61,32,55,35,0.782608695652174,0.217391304347826,0.713802702677182,0.286197297322818
131,79,74,79,193,0.652877697841727,0.347122302158273,0.713802702677182,0.286197297322818
