"obs","pval","site","Marker"
0.17180846384486,1e-04,"Kāneʻohe","18S"
0.105598527993825,1e-04,"Lanikai","18S"
0.184867837799013,1e-04,"Maunalua","18S"
0.239006753692069,1e-04,"Waimānalo","18S"
