"obs","pval","site","Marker"
0.168830674309288,0.001,"Kāneʻohe","18S"
0.104096766657632,0.001,"Lanikai","18S"
0.181007084337038,0.001,"Maunalua","18S"
0.235415079698786,0.001,"Waimānalo","18S"
