Site,Model,AIC,delta_AIC,Marker
Kāneʻohe,Exponential,-11.016893124988766,41.68723907765657,COI
Kāneʻohe,PowerLaw,-52.70413220264534,0,COI
Lanikai,Exponential,-11.590692559210598,42.7198032866267,COI
Lanikai,PowerLaw,-54.3104958458373,0,COI
Maunalua,Exponential,-16.71538545952532,55.81709584216482,COI
Maunalua,PowerLaw,-72.53248130169014,0,COI
Waimānalo,Exponential,-14.797510088658228,75.61640225007291,COI
Waimānalo,PowerLaw,-90.41391233873114,0,COI
