phylum,n,Marker
Rhodophyta,60,COI
Porifera,35,COI
Cnidaria,22,COI
Ochrophyta,11,COI
Annelida,4,COI
Arthropoda,4,COI
Mollusca,4,COI
Chordata,2,COI
Echinodermata,2,COI
Xenacoelomorpha,1,COI
