Site,Model,AIC,delta_AIC,Marker
Kāneʻohe,Exponential,-13.920844088151796,50.024795330496474,18S
Kāneʻohe,PowerLaw,-63.94563941864827,0,18S
Lanikai,Exponential,-11.087234089035967,41.46183549564589,18S
Lanikai,PowerLaw,-52.54906958468186,0,18S
Maunalua,Exponential,-20.6715995241987,40.366463748758235,18S
Maunalua,PowerLaw,-61.03806327295693,0,18S
Waimānalo,Exponential,-22.199133117781315,42.90730088612176,18S
Waimānalo,PowerLaw,-65.10643400390308,0,18S
