"obs","pval","site","Marker"
0.225953141994853,1e-04,"Kāneʻohe","COI"
0.22666227027536,1e-04,"Lanikai","COI"
0.261350313374741,1e-04,"Maunalua","COI"
0.369967180678361,1e-04,"Waimānalo","COI"
